Invoice No,Sale Order,Ref Doc,Name,Invoice Date,Product,Qty,Discount,Additional Discount,Scheme Discount,Taxes,Tax Desc,Unit Price,Sub Total,Total
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,P10271,64,48,0,15,12,Inter,341,9646.21,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,H10229,64,48,0,0,18,Inter,120,3993.6,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,C10027,3,48,0,0,18,Inter,407,634.92,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,E60579,60,48,0,15,12,Inter,105,2784.6,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,P10529,60,48,0,15,18,Inter,391,10369.32,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,G31171,64,48,0,15,12,Inter,101,2857.09,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,L10429,12,48,0,0,18,Inter,575,3588,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201>1.0;SO05087>2.0;,321FS\OUT\07406;321FS\OUT\07408;,9300110,17-02-2018,H13829,3,48,0,0,18,Inter,736,1148.16,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,A10537,20,48,0,12,18,Inter,1082,9902.46,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,M40717,2,48,0,0,18,Inter,1889,1964.56,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,S11037,60,48,0,0,18,Inter,807,25178.4,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,A13725,5,48,0,0,18,Inter,605,1573,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,S10529,5,48,0,0,12,Inter,191,496.6,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,C11837,20,48,0,12,18,Inter,1158,10598.02,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,A75504,4,48,0,0,18,Inter,1298,2699.84,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,T32709,10,48,0,0,18,Inter,378,1965.6,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,A70129,2,48,0,0,18,Inter,488,507.52,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,W25570,2,48,0,0,12,Inter,1590,1653.6,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,P13429,160,48,0,15,18,Inter,463,32743.36,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,S24771,128,48,0,15,12,Inter,103,5827.33,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,H12037,80,48,0,0,18,Inter,557,23171.2,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,M13259,2,48,0,0,18,Inter,304,316.16,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,L30579,60,48,0,15,12,Inter,285,7558.2,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,F40659,50,48,0,15,12,Inter,185,4088.5,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,L10829,5,48,0,0,18,Inter,403,1047.8,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,D11529,64,48,0,15,18,Inter,282,7977.22,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,C31271,256,48,0,15,12,Inter,110,12446.72,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,S75837,4,48,0,0,18,Inter,776,1614.08,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,S75830,8,48,0,0,18,Inter,255,1060.8,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,M31971,64,48,0,15,12,Inter,111,3139.97,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,N11737,100,48,0,10,18,Inter,628,29390.4,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,D15051,200,48,0,10,18,Inter,375,35100,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,C10017,53,48,0,15,18,Inter,210,4919.46,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,B71579,3,48,0,0,18,Inter,318,496.08,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,C25329,16,48,0,0,5,Inter,377,3136.64,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,S53109,400,48,0,15,12,Inter,120,21216,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,S42005,10,48,0,0,18,Inter,1602,8330.4,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,I40656,100,48,0,15,12,Inter,194,8574.8,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,P12129,60,48,0,15,18,Inter,602,15965.04,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,S51279,24,48,0,0,12,Inter,1900,23712,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,H70930,8,48,0,0,18,Inter,219,911.04,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,X10337,52,48,0,15,18,Inter,1028,23627.55,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,E12129,3,48,0,0,18,Inter,325,507,428110.44
